Producto;consumersVolumenTotal
Ajo;219988
Alcachofa;59073
Apio;117918
Arveja Verde;23622.6
Brócoli;247483
Cebolla;47572.5
Choclo;53135
Coliflor;228901
Espinaca;53784.3
Haba;46151.5
Lechuga;574578
Melón;49744
Pepino ensalada;164084
Poroto granado;11504.4
Poroto verde;39097.4
Repollo;186248
Sandia;15262
Tomate;235862
Zanahoria;266613.5
Zapallo italiano;156893
Frutilla;20500.2
