Mes;avg_feriantes
Mayo;6144.851849
Junio;7588.899559
Julio;9171.101256
Agosto;8895.528198
Septiembre;7849.935053
Octubre;9524.958398
Noviembre;13110.13879
Diciembre;13617.43923
Enero;18120.4587
Febrero;16202.29868
Marzo;16490.65219
Abril;11571.04011
