Producto;mercadoMayoristaVolumenTotal
Ajo;75786339
Alcachofa;4158128
Apio;576362159
Arveja Verde;91166831
Brócoli;1477947495
Cebolla;17632041
Choclo;6174758
Coliflor;261449499
Espinaca;425058946
Haba;18624078
Lechuga;51668061
Melón;28205275
Pepino ensalada;18804140
Poroto granado;91775590
Poroto verde;293240069
Repollo;365901305
Sandia;23364274
Tomate;9186936
Zanahoria;38816799
Zapallo italiano;20098619
Frutilla;1900740
