Producto;feriantesVolumenTotal
Ajo;14054896
Alcachofa;4158128
Apio;19218688
Arveja Verde;20419872
Brócoli;46743480
Cebolla;11685412
Choclo;6174758
Coliflor;41664756
Espinaca;27476064
Haba;14923184
Lechuga;38774960
Melón;2256300
Pepino ensalada;18804140
Poroto granado;46166249
Poroto verde;11247360
Repollo;34561280
Sandia;4227584
Tomate;9186936
Zanahoria;38798638
Zapallo italiano;12386281
Frutilla;1900740
