Mes;avg_feriantes
Mayo;10340,93906
Junio;13510,96471
Julio;13514,21541
Agosto;14061,63264
Septiembre;14219,64357
Octubre;20771,76125
Noviembre;25464,80869
Diciembre;25513,64893
Enero;39270,49528
Febrero;34118,00319
Marzo;31592,30947
Abril;26139,87282
