Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
ago-19;Mandarina;Clemenuless;Primera;$/kilo;500;1.200;746
ago-19;Mandarina;Clemenuless;Segunda;$/kilo;300;1.000;558
sept-19;Mandarina;Clemenuless;Primera;$/kilo;500;1.200;722
sept-19;Mandarina;Clemenuless;Segunda;$/kilo;350;700;510
oct-19;Mandarina;Clemenuless;Primera;$/kilo;500;1.200;771
oct-19;Mandarina;Clemenuless;Segunda;$/kilo;350;900;561
nov-19;Mandarina;Clemenuless;Primera;$/kilo;600;1.000;806
nov-19;Mandarina;Clemenuless;Segunda;$/kilo;500;700;630
mar-19;Mango;Sin especificar;Primera;$/kilo;1.800;3.000;2.270
mar-19;Mango;Sin especificar;Segunda;$/kilo;2.000;2.200;2.133
abr-19;Mango;Sin especificar;Primera;$/kilo;1.750;2.800;2.162
abr-19;Mango;Sin especificar;Segunda;$/kilo;2.000;2.500;2.130
may-19;Mango;Sin especificar;Primera;$/kilo;2.000;2.500;2.211
may-19;Mango;Sin especificar;Segunda;$/kilo;2.000;2.200;2.080
jun-19;Mango;Sin especificar;Primera;$/kilo;1.500;3.600;2.364
jun-19;Mango;Sin especificar;Segunda;$/kilo;2.200;2.200;2.200
jul-19;Mango;Sin especificar;Primera;$/kilo;1.000;3.570;2.271
jul-19;Mango;Sin especificar;Segunda;$/kilo;1.500;1.900;1.667
ago-19;Mango;Sin especificar;Primera;$/kilo;1.000;3.000;1.991
sept-19;Mango;Sin especificar;Primera;$/kilo;1.800;3.500;2.481
oct-19;Mango;Sin especificar;Primera;$/kilo;1.800;3.400;2.486
oct-19;Mango;Sin especificar;Segunda;$/kilo;1.000;1.800;1.400
nov-19;Mango;Sin especificar;Primera;$/kilo;1.500;2.800;2.118
nov-19;Mango;Sin especificar;Segunda;$/kilo;1.500;2.000;1.925
dic-19;Mango;Sin especificar;Primera;$/kilo;1.500;2.700;2.151
dic-19;Mango;Sin especificar;Segunda;$/kilo;1.500;1.800;1.700
ene-20;Mango;Sin especificar;Primera;$/kilo;1.500;2.800;2.174
ene-20;Mango;Sin especificar;Segunda;$/kilo;1.800;2.000;1.917
feb-20;Mango;Sin especificar;Primera;$/kilo;1.500;2.700;1.943
feb-20;Mango;Sin especificar;Segunda;$/kilo;1.250;2.000;1.821
mar-20;Mango;Sin especificar;Primera;$/kilo;1.200;2.700;1.958
mar-20;Mango;Sin especificar;Segunda;$/kilo;1.500;2.000;1.833
mar-19;Manzana;Granny Smith;Primera;$/kilo;490;1.000;692
mar-19;Manzana;Granny Smith;Segunda;$/kilo;400;700;531
abr-19;Manzana;Granny Smith;Primera;$/kilo;450;1.000;631
abr-19;Manzana;Granny Smith;Segunda;$/kilo;350;600;446
may-19;Manzana;Granny Smith;Primera;$/kilo;400;900;578
may-19;Manzana;Granny Smith;Segunda;$/kilo;300;700;443
jun-19;Manzana;Granny Smith;Primera;$/kilo;400;850;581
jun-19;Manzana;Granny Smith;Segunda;$/kilo;300;600;444
jul-19;Manzana;Granny Smith;Primera;$/kilo;450;900;594
jul-19;Manzana;Granny Smith;Segunda;$/kilo;300;650;454
ago-19;Manzana;Granny Smith;Primera;$/kilo;500;1.000;625
ago-19;Manzana;Granny Smith;Segunda;$/kilo;400;800;486
sept-19;Manzana;Granny Smith;Primera;$/kilo;500;1.000;747
sept-19;Manzana;Granny Smith;Segunda;$/kilo;400;700;568
oct-19;Manzana;Granny Smith;Primera;$/kilo;500;1.500;905
oct-19;Manzana;Granny Smith;Segunda;$/kilo;400;900;691
nov-19;Manzana;Granny Smith;Primera;$/kilo;700;1.500;1.147
nov-19;Manzana;Granny Smith;Segunda;$/kilo;650;1.200;888
dic-19;Manzana;Granny Smith;Primera;$/kilo;800;2.000;1.421
dic-19;Manzana;Granny Smith;Segunda;$/kilo;700;1.500;1.083
ene-20;Manzana;Granny Smith;Primera;$/kilo;950;2.000;1.561
ene-20;Manzana;Granny Smith;Segunda;$/kilo;800;2.000;1.283
feb-20;Manzana;Granny Smith;Primera;$/kilo;600;2.000;1.077
feb-20;Manzana;Granny Smith;Segunda;$/kilo;500;1.500;786
mar-20;Manzana;Granny Smith;Primera;$/kilo;590;1.500;849
mar-20;Manzana;Granny Smith;Segunda;$/kilo;490;1.000;659
mar-19;Naranja;Valencia;Primera;$/kilo;500;900;692
mar-19;Naranja;Valencia;Segunda;$/kilo;400;700;534
abr-19;Naranja;Valencia;Primera;$/kilo;500;900;661
abr-19;Naranja;Valencia;Segunda;$/kilo;400;700;507
may-19;Naranja;Valencia;Primera;$/kilo;500;1.000;659
may-19;Naranja;Valencia;Segunda;$/kilo;350;700;533
jun-19;Naranja;Valencia;Primera;$/kilo;450;1.000;649
jun-19;Naranja;Valencia;Segunda;$/kilo;350;700;467
jul-19;Naranja;Valencia;Primera;$/kilo;500;700;558
jul-19;Naranja;Valencia;Segunda;$/kilo;350;400;375
ago-19;Naranja;Fukumoto;Primera;$/kilo;400;950;546
ago-19;Naranja;Fukumoto;Segunda;$/kilo;250;700;400
sept-19;Naranja;Lane Late;Primera;$/kilo;400;900;569
sept-19;Naranja;Lane Late;Segunda;$/kilo;250;600;429
oct-19;Naranja;Lane Late;Primera;$/kilo;400;1.200;680
