Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
mar-20;Melón;Tuna;Primera;$/unidad;500;1.700;901;;;;
mar-20;Melón;Tuna;Segunda;$/unidad;400;900;626;;;;
mar-19;Papa;Asterix;Primera;$/kilo;350;800;485;;;;
mar-19;Papa;Asterix;Segunda;$/kilo;300;500;374;;;;
abr-19;Papa;Asterix;Primera;$/kilo;350;800;469;;;;
abr-19;Papa;Asterix;Segunda;$/kilo;250;500;347;;;;
may-19;Papa;Asterix;Primera;$/kilo;300;700;473;;;;
may-19;Papa;Asterix;Segunda;$/kilo;250;500;363;;;;
jun-19;Papa;Asterix;Primera;$/kilo;300;900;496;;;;
jun-19;Papa;Asterix;Segunda;$/kilo;250;450;376;;;;
jul-19;Papa;Asterix;Primera;$/kilo;300;700;494;;;;
jul-19;Papa;Asterix;Segunda;$/kilo;200;550;361;;;;
ago-19;Papa;Asterix;Primera;$/kilo;300;700;485;;;;
ago-19;Papa;Asterix;Segunda;$/kilo;250;500;367;;;;
sept-19;Papa;Asterix;Primera;$/kilo;400;900;515;;;;
sept-19;Papa;Asterix;Segunda;$/kilo;300;500;386;;;;
oct-19;Papa;Asterix;Primera;$/kilo;400;1.000;575;;;;
oct-19;Papa;Asterix;Segunda;$/kilo;300;600;440;;;;
nov-19;Papa;Asterix;Primera;$/kilo;350;800;525;;;;
nov-19;Papa;Asterix;Segunda;$/kilo;300;500;376;;;;
dic-19;Papa;Asterix;Primera;$/kilo;300;800;484;;;;
dic-19;Papa;Asterix;Segunda;$/kilo;250;550;361;;;;
ene-20;Papa;Asterix;Primera;$/kilo;350;900;526;;;;
ene-20;Papa;Asterix;Segunda;$/kilo;300;500;387;;;;
feb-20;Papa;Asterix;Primera;$/kilo;350;900;522;;;;
feb-20;Papa;Asterix;Segunda;$/kilo;250;500;401;;;;
mar-20;Papa;Asterix;Primera;$/kilo;300;800;522;;;;
mar-20;Papa;Asterix;Segunda;$/kilo;250;500;402;;;;
mar-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;336;135;133000;1900*caja 70 unidades;9468/caja 70 unidades
mar-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;150;450;232;94;38000;380*caja 100 unidades;9447/caja 100 unidades
abr-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;600;275;98;233800;3340*caja 70 unidades;6874/caja 70 unidades
abr-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;185;47;41000;410*caja 100 unidades;4707/caja 100 unidades
may-19;Pepino ensalada;Sin especificar;Primera;$/unidad;180;500;281;108;79800;1140*caja 70 unidades;7561/caja 70 unidades
may-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;202;68;29000;290*caja 100 unidades;6793/caja 100 unidades
jun-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;500;290;122;55300;790* caja 70 unidades;8519/caja 70 unidades
jun-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;203;;;;
jul-19;Pepino ensalada;Sin especificar;Primera;$/unidad;166;600;282;;;;
jul-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;204;;;;
ago-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;363;;;;
ago-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;233;;;;
sept-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;340;;;;
sept-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;238;;;;
oct-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;700;345;;;;
oct-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;166;500;251;;;;
nov-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;500;263;;;;
nov-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;250;166;;;;
dic-19;Pepino ensalada;Sin especificar;Primera;$/unidad;180;600;272;;;;
dic-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;350;182;;;;
ene-20;Pepino ensalada;Sin especificar;Primera;$/unidad;150;600;283;97;170800;2440*caja 70 unidades;6790/caja 70 unidades
ene-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;195;49;192000;1920*caja 100 unidades;4909/caja 100 unidades
feb-20;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;280;95;317800;4540*caja 70 unidades;6622/caja 70 unidades
feb-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;204;46;415000;4150*caja 100 unidades;4593/caja 100 unidades
mar-20;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;301;109;473900;6770*caja 70 unidades;7598/caja 70 unidades
mar-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;150;400;206;50;231000;2310*caja 100 unidades;5000/caja 100 unidades
mar-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;700;321;;;;
mar-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;350;213;;;;
abr-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;700;310;;;;
abr-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;300;194;;;;
may-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;150;700;294;;;;
may-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;500;192;;;;
jun-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;600;285;;;;
jun-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;500;200;;;;
jul-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;500;300;;;;
jul-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;125;350;213;;;;
ago-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;700;344;;;;
ago-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;150;300;240;;;;
sept-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;600;392;;;;
sept-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;150;400;272;;;;
oct-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;300;500;405;;;;
oct-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;200;350;284;;;;
ene-20;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;900;332;;;;
ene-20;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;350;213;;;;
feb-20;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;600;335;;;;
feb-20;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;300;215;;;;
mar-20;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;500;323;;;;
mar-20;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;350;213;;;;
mar-19;Poroto granado;Sin especificar;Primera;$/kilo;500;1.500;889;669;342500;13700*saco 25 kilos;16729/saco 25 kilos
mar-19;Poroto granado;Sin especificar;Segunda;$/kilo;600;1.200;825;562;85750;3430*saco 25 kilos;14055/saco 25 kilos
abr-19;Poroto granado;Sin especificar;Primera;$/kilo;600;1.500;845;591;321750;2870*saco 25 kilos;14780/saco 25 kilos
abr-19;Poroto granado;Sin especificar;Segunda;$/kilo;500;800;662;470;77500;3100*saco 25 kilos;11742/saco 25 kilos
may-19;Poroto granado;Sin especificar;Primera;$/kilo;650;1.500;948;726;121000;4840*saco 25 kilos;18157/saco 25 kilos
may-19;Poroto granado;Sin especificar;Segunda;$/kilo;600;1.000;843;564;13250;530*saco 25 kilos;14094/saco 25 kilos
dic-19;Poroto granado;Sin especificar;Primera;$/kilo;1.000;2.500;1.706;1.004;220.250;8810*saco 25 kilos;25094/saco 25 kilos
dic-19;Poroto granado;Sin especificar;Segunda;$/kilo;1.000;2.000;1.466;554;19.750;790*saco 25 kilos;13861/saco 25 kilos
ene-20;Poroto granado;Sin especificar;Primera;$/kilo;800;2.000;1.165;824;389750;15590*saco 25 kilos;20614/saco 25 kilos
ene-20;Poroto granado;Sin especificar;Segunda;$/kilo;750;1.400;1.024;645;50500;2020*saco 25 kilos;16114/saco 25 kilos
feb-20;Poroto granado;Sin especificar;Primera;$/kilo;800;2.000;1.255;977;254500;10180*saco 25 kilos;24430/saco 25 kilos
feb-20;Poroto granado;Sin especificar;Segunda;$/kilo;700;1.500;1.036;784;33500;1340*saco 25 kilos;19612/saco 25 kilos
mar-20;Poroto granado;Sin especificar;Primera;$/kilo;900;2.200;1.293;1017;373250;14930*saco 25 kilos;25417/saco 25 kilos
mar-20;Poroto granado;Sin especificar;Segunda;$/kilo;800;1.500;1.128;846;27000;1080*saco 25 kilos;21148/saco 25 kilos
mar-19;Poroto verde;Sin especificar;Primera;$/kilo;700;2.000;1.104;722;191500;7660*saco 25 kilos;10844/saco 25 kilos
mar-19;Poroto verde;Sin especificar;Segunda;$/kilo;700;1.600;900;634;46750;1870*saco 25 kilos;15854/saco 25 kilos
abr-19;Poroto verde;Sin especificar;Primera;$/kilo;600;1.900;1.012;687;80000;3200*saco 25 kilos;17181/saco 25 kilos
abr-19;Poroto verde;Sin especificar;Segunda;$/kilo;600;1.000;777;480;5250;210*saco 25 kilos;12000/saco 25 kilos
may-19;Poroto verde;Magnum;Primera;$/kilo;700;2.000;1.169;;;;
may-19;Poroto verde;Magnum;Segunda;$/kilo;600;1.200;923;;;;
jun-19;Poroto verde;Magnum;Primera;$/kilo;800;3.000;1.434;;;;
jun-19;Poroto verde;Magnum;Segunda;$/kilo;700;2.000;1.035;;;;
jul-19;Poroto verde;Magnum;Primera;$/kilo;900;3.000;1.393;;;;
jul-19;Poroto verde;Magnum;Segunda;$/kilo;800;2.000;1.279;;;;
ago-19;Poroto verde;Magnum;Primera;$/kilo;1.000;2.400;1.500;;;;
ago-19;Poroto verde;Magnum;Segunda;$/kilo;1.000;1.600;1.295;;;;
sept-19;Poroto verde;Magnum;Primera;$/kilo;1.200;3.600;2.064;;;;
sept-19;Poroto verde;Magnum;Segunda;$/kilo;1.200;2.000;1.807;;;;
oct-19;Poroto verde;Magnum;Primera;$/kilo;1.500;3.000;2.147;;;;
oct-19;Poroto verde;Magnum;Segunda;$/kilo;1.400;2.200;1.826;;;;
nov-19;Poroto verde;Magnum;Primera;$/kilo;1.000;3.000;1.803;;;;
nov-19;Poroto verde;Magnum;Segunda;$/kilo;1.000;2.000;1.463;;;;
dic-19;Poroto verde;Magnum;Primera;$/kilo;800;2.000;1.370;711;78500;3140*saco 25 kilos;17768/saco 25 kilos
dic-19;Poroto verde;Magnum;Segunda;$/kilo;600;800;772;547;12750;510*saco 25 kilos;13667/saco 25 kilos
ene-20;Poroto verde;Sin especificar;Primera;$/kilo;700;2.500;1.268;645;44000;1760*saco 25 kilos;16125/saco 25 kilos
ene-20;Poroto verde;Sin especificar;Segunda;$/kilo;600;1.500;999;400;4000;160*saco 25 kilos;10000/saco 25 kilos
feb-20;Poroto verde;Sin especificar;Primera;$/kilo;900;2.000;1.272;951;135000;5400*saco 25 kilos;23774/saco 25 kilos
feb-20;Poroto verde;Sin especificar;Segunda;$/kilo;750;1.500;1.068;740;23000;920*saco 25 kilos;18500/saco 25 kilos
mar-20;Poroto verde;Sin especificar;Primera;$/kilo;1.000;2.500;1.416;1.052;25.000;1000*saco 25 kilos;26300/saco 25 kilos
mar-20;Poroto verde;Sin especificar;Segunda;$/kilo;1.000;1.600;1.197;;;;
mar-19;Repollo;Crespo record;Primera;$/unidad;800;2.000;1.397;728;351.700;;
mar-19;Repollo;Crespo record;Segunda;$/unidad;700;1.400;1.059;493;96.300;;
abr-19;Repollo;Crespo record;Primera;$/unidad;900;1.600;1.237;672;248.000;;
abr-19;Repollo;Crespo record;Segunda;$/unidad;700;1.400;991;467;84.150;;
may-19;Repollo;Crespo record;Primera;$/unidad;700;1.600;1.101;522;285.470;;
may-19;Repollo;Crespo record;Segunda;$/unidad;600;1.400;873;373;106.900;;
jun-19;Repollo;Crespo record;Primera;$/unidad;800;1.600;1.117;552;248.900;;
jun-19;Repollo;Crespo record;Segunda;$/unidad;500;1.000;842;372;78.100;;
jul-19;Repollo;Crespo record;Primera;$/unidad;700;1.600;1.163;690;86.580;;
jul-19;Repollo;Crespo record;Segunda;$/unidad;600;1.200;881;474;39.028;;
ago-19;Repollo;Crespo record;Primera;$/unidad;700;1.600;1.205;602;129.620;;
ago-19;Repollo;Crespo record;Segunda;$/unidad;500;1.200;864;431;74.240;;
sept-19;Repollo;Crespo record;Primera;$/unidad;600;1.600;1.047;567;162.350;;
sept-19;Repollo;Crespo record;Segunda;$/unidad;500;1.000;778;416;34.900;;
oct-19;Repollo;Crespo record;Primera;$/unidad;700;2.000;1.093;517;351.530;;
oct-19;Repollo;Crespo record;Segunda;$/unidad;500;1.600;802;328;189.570;;
nov-19;Repollo;Crespo record;Primera;$/unidad;600;1.500;1.028;485;231.670;;
nov-19;Repollo;Crespo record;Segunda;$/unidad;500;1.000;783;347;128.750;;
dic-19;Repollo;Crespo record;Primera;$/unidad;500;1.500;993;452;236.890;;
dic-19;Repollo;Crespo record;Segunda;$/unidad;400;1.000;713;359;128.500;;
ene-20;Repollo;Crespo record;Primera;$/unidad;700;2.400;1.253;591;95.470;;
ene-20;Repollo;Crespo record;Segunda;$/unidad;500;1.200;824;480;58.780;;
feb-20;Repollo;Crespo record;Primera;$/unidad;800;2.400;1.568;909;31.620;;
feb-20;Repollo;Crespo record;Segunda;$/unidad;800;2.000;1.223;731;20.820;;
mar-20;Repollo;Crespo record;Primera;$/unidad;1.400;3.200;2.224;1.039;64.100;;
mar-20;Repollo;Crespo record;Segunda;$/unidad;1.000;2.200;1.603;835;29.100;;
mar-19;Sandia;Sin especificar;Primera;$/unidad;2.000;3.000;2.342;1.617;30.190;;
mar-19;Sandia;Sin especificar;Segunda;$/unidad;1.000;2.500;1.771;1.234;24.620;;
dic-19;Sandia;Sin especificar;Primera;$/unidad;300;5.000;2.891;2.546;10.800;;
dic-19;Sandia;Sin especificar;Segunda;$/unidad;1.000;3.500;2.247;1.900;6.200;;
ene-20;Sandia;Sin especificar;Primera;$/unidad;1.500;4.500;2.837;2.024;99.400;;
ene-20;Sandia;Sin especificar;Segunda;$/unidad;1.200;3.500;2.169;1.541;50.300;;
feb-20;Sandia;Sin especificar;Primera;$/unidad;1.500;3.500;2.535;1.535;26.690;;
feb-20;Sandia;Sin especificar;Segunda;$/unidad;1.000;2.700;1.970;1.065;18.100;;
mar-20;Sandia;Sin especificar;Primera;$/unidad;2.000;3.200;2.547;1.458;6.700;;
mar-20;Sandia;Sin especificar;Segunda;$/unidad;1.200;2.700;1.931;991;5.300;;
mar-19;Tomate;Larga vida;Primera;$/kilo;500;1.400;780;530;96.120;5340*bandeja 18 kilos;9554/bandeja 18 kilos
mar-19;Tomate;Larga vida;Segunda;$/kilo;400;800;592;420;91.800;5100*bandeja 18 kilos;7557/bandeja 18 kilos
abr-19;Tomate;Larga vida;Primera;$/kilo;600;1.700;889;489;94.680;5260*bandeja 18 kilos;8810/bandeja 18 kilos
abr-19;Tomate;Larga vida;Segunda;$/kilo;500;1.000;666;374;71.820;3990*bandeja 18 kilos;6732/bandeja 18 kilos
may-19;Tomate;Larga vida;Primera;$/kilo;550;1.300;793;;;;
may-19;Tomate;Larga vida;Segunda;$/kilo;450;1.000;619;;;;
jun-19;Tomate;Larga vida;Primera;$/kilo;500;1.500;829;;;;
jun-19;Tomate;Larga vida;Segunda;$/kilo;400;1.100;647;;;;
jul-19;Tomate;Larga vida;Primera;$/kilo;400;1.200;647;;;;
jul-19;Tomate;Larga vida;Segunda;$/kilo;300;800;472;;;;
ago-19;Tomate;Larga vida;Primera;$/kilo;400;1.000;657;;;;
ago-19;Tomate;Larga vida;Segunda;$/kilo;300;800;494;;;;
sept-19;Tomate;Larga vida;Primera;$/kilo;500;1.200;766;;;;
sept-19;Tomate;Larga vida;Segunda;$/kilo;350;850;574;;;;
oct-19;Tomate;Larga vida;Primera;$/kilo;600;1.500;930;;;;
oct-19;Tomate;Larga vida;Segunda;$/kilo;500;1.000;716;;;;
nov-19;Tomate;Larga vida;Primera;$/kilo;500;1.300;806;;;;
nov-19;Tomate;Larga vida;Segunda;$/kilo;400;1.100;624;;;;
dic-19;Tomate;Larga vida;Primera;$/kilo;400;1.200;777;346;28260;1570*bandeja 18 kilos;6229/bandeja 18 kilos
dic-19;Tomate;Larga vida;Segunda;$/kilo;300;800;599;291;26100;1450*bandeja 18 kilos;5234/bandeja 18 kilos
ene-20;Tomate;Larga vida;Primera;$/kilo;450;1.300;720;285;378540;21030*bandeja 18 kilos;5123/bandeja 18 kilos
ene-20;Tomate;Larga vida;Segunda;$/kilo;350;1.000;559;193;292680;16260*bandeja 18 kilos;3480/bandeja 18 kilos
feb-20;Tomate;Larga vida;Primera;$/kilo;500;1.200;721;391;433620;24090*bandeja 18 kilos;7040/bandeja 18 kilos
feb-20;Tomate;Larga vida;Segunda;$/kilo;400;900;533;298;345600;19200*bandeja 18 kilos;5367/bandeja 18 kilos
mar-20;Tomate;Larga vida;Primera;$/kilo;500;1.400;770;360;603900;33550*bandeja 18 kilos;6485/bandeja 18 kilos
mar-20;Tomate;Larga vida;Segunda;$/kilo;350;800;585;252;385020;21390*bandeja 18 kilos;4534/bandeja 18 kilos
mar-19;Zanahoria;Sin especificar;Primera;$/kilo;400;800;571;243;238400;11920*saco 20 kilos;4850/saco 20 kilos
mar-19;Zanahoria;Sin especificar;Segunda;$/kilo;350;500;444;170;45600;2280*saco 20 kilos;3408/saco 20 kilos
abr-19;Zanahoria;Sin especificar;Primera;$/kilo;450;800;561;;;;
abr-19;Zanahoria;Sin especificar;Segunda;$/kilo;400;500;419;;;;
may-19;Zanahoria;Sin especificar;Primera;$/kilo;450;800;551;255;186000;9300*saco 20 kilos;5090/saco 20 kilos
may-19;Zanahoria;Sin especificar;Segunda;$/kilo;350;500;421;200;5000;250*saco 20 kilos;4000/saco 20 kilos
jun-19;Zanahoria;Sin especificar;Primera;$/kilo;400;800;558;259;522200;26110*saco 20 kilos;5185/saco 20 kilos
jun-19;Zanahoria;Sin especificar;Segunda;$/kilo;300;600;437;220;24000;1200*saco 20 kilos;4396/saco 20 kilos
jul-19;Zanahoria;Sin especificar;Primera;$/kilo;400;800;569;272;425000;1250*saco 20 kilos;5436/saco 20 kilos
jul-19;Zanahoria;Sin especificar;Segunda;$/kilo;200;700;434;191;50400;2520*saco 20 kilos;3813/saco 20 kilos
ago-19;Zanahoria;Sin especificar;Primera;$/kilo;400;800;568;255;321800;16090*saco 20 kilos;5103/saco 20 kilos
ago-19;Zanahoria;Sin especificar;Segunda;$/kilo;300;600;424;167;34400;1720*saco 20 kilos;3347/saco 20 kilos
sept-19;Zanahoria;Sin especificar;Primera;$/kilo;500;1.000;617;300;316400;15820*saco 20 kilos;6000/saco 20 kilos
sept-19;Zanahoria;Sin especificar;Segunda;$/kilo;350;600;497;228;43000;2150*saco 20 kilos;4555/saco 20 kilos
oct-19;Zanahoria;Sin especificar;Primera;$/kilo;450;1.500;697;333;384000;19200*saco 20 kilos;6654/saco 20 kilos
oct-19;Zanahoria;Sin especificar;Segunda;$/kilo;300;4.500;601;250;55200;2760*saco 20 kilos;5009/saco 20 kilos
nov-19;Zanahoria;Sin especificar;Primera;$/kilo;400;1.000;686;360;371000;18550*saco 20 kilos;7194/saco 20 kilos
nov-19;Zanahoria;Sin especificar;Segunda;$/kilo;300;650;506;266;70000;3500*saco 20 kilos;5320/saco 20 kilos
dic-19;Zanahoria;Sin especificar;Primera;$/kilo;400;1.000;595;296;363600;18180*saco 20 kilos;5911/saco 20 kilos
dic-19;Zanahoria;Sin especificar;Segunda;$/kilo;300;600;433;213;58600;2930*saco 20 kilos;4261/saco 20 kilos
ene-20;Zanahoria;Sin especificar;Primera;$/kilo;400;1.200;644;316;161600;8080*saco 20 kilos;6310/saco 20 kilos
ene-20;Zanahoria;Sin especificar;Segunda;$/kilo;280;700;488;225;24600;1230*saco 20 kilos;4500/saco 20 kilos
feb-20;Zanahoria;Sin especificar;Primera;$/kilo;500;1.000;609;300;18600;930*saco 20 kilos;6000/saco 20 kilos
feb-20;Zanahoria;Sin especificar;Segunda;$/kilo;300;600;464;250;10200;510*saco 20 kilos;5000/saco 20 kilos
mar-20;Zanahoria;Sin especificar;Primera;$/kilo;350;1.200;682;269;28800;1440*saco 20 kilos;5382/saco 20 kilos
mar-20;Zanahoria;Sin especificar;Segunda;$/kilo;390;800;518;200;3200;160*saco 20 kilos;4000/saco 20 kilos
mar-19;Zapallo;Camote;1a (cosecha);$/kilo;400;1.000;678;;;;
mar-19;Zapallo;Camote;2a (cosecha);$/kilo;300;700;429;;;;
mar-19;Zapallo;Paine;1a (cosecha);$/kilo;500;700;600;;;;
mar-19;Zapallo;Paine;2a (cosecha);$/kilo;200;250;225;;;;
abr-19;Zapallo;Camote;1a (cosecha);$/kilo;400;1.000;662;;;;
abr-19;Zapallo;Camote;2a (cosecha);$/kilo;300;600;407;;;;
abr-19;Zapallo;Paine;1a (cosecha);$/kilo;400;700;615;;;;
abr-19;Zapallo;Paine;2a (cosecha);$/kilo;250;350;300;;;;
may-19;Zapallo;Camote;1a (guarda);$/kilo;350;1.000;657;;;;
may-19;Zapallo;Camote;2a (guarda);$/kilo;300;1.000;453;;;;
may-19;Zapallo;Paine;1a (guarda);$/kilo;400;800;610;;;;
may-19;Zapallo;Paine;2a (guarda);$/kilo;500;600;520;;;;
jun-19;Zapallo;Camote;1a (guarda);$/kilo;500;1.400;767;;;;
jun-19;Zapallo;Camote;2a (guarda);$/kilo;400;900;550;;;;
jun-19;Zapallo;Paine;1a (guarda);$/kilo;600;700;668;;;;
jun-19;Zapallo;Paine;2a (guarda);$/kilo;500;500;500;;;;
jul-19;Zapallo;Camote;1a (guarda);$/kilo;300;1.200;751;;;;
jul-19;Zapallo;Camote;2a (guarda);$/kilo;200;700;506;;;;
jul-19;Zapallo;Paine;1a (guarda);$/kilo;500;800;650;;;;
jul-19;Zapallo;Paine;2a (guarda);$/kilo;400;600;520;;;;
ago-19;Zapallo;Camote;1a (guarda);$/kilo;300;1.200;819;;;;
ago-19;Zapallo;Camote;2a (guarda);$/kilo;300;1.000;625;;;;
ago-19;Zapallo;Paine;1a (guarda);$/kilo;500;800;710;;;;
ago-19;Zapallo;Paine;2a (guarda);$/kilo;600;600;600;;;;
sept-19;Zapallo;Camote;1a (guarda);$/kilo;300;2.000;995;;;;
sept-19;Zapallo;Camote;2a (guarda);$/kilo;400;1.000;674;;;;
sept-19;Zapallo;Paine;1a (guarda);$/kilo;600;1.200;929;;;;
sept-19;Zapallo;Paine;2a (guarda);$/kilo;700;700;700;;;;
oct-19;Zapallo;Camote;1a (guarda);$/kilo;800;2.000;1.273;;;;
oct-19;Zapallo;Camote;2a (guarda);$/kilo;700;2.000;967;;;;
oct-19;Zapallo;Paine;1a (guarda);$/kilo;500;1.500;1.065;;;;
oct-19;Zapallo;Paine;2a (guarda);$/kilo;400;1.000;888;;;;
nov-19;Zapallo;Camote;1a (guarda);$/kilo;1.000;2.000;1.300;;;;
nov-19;Zapallo;Camote;1a nueva(o);$/kilo;900;1.600;1.151;;;;
nov-19;Zapallo;Camote;2a (guarda);$/kilo;800;1.500;1.069;;;;
nov-19;Zapallo;Camote;2a nueva(o);$/kilo;700;1.000;847;;;;
nov-19;Zapallo;Paine;1a (guarda);$/kilo;700;1.600;1.034;;;;
nov-19;Zapallo;Paine;2a (guarda);$/kilo;800;1.200;933;;;;
dic-19;Zapallo;Camote;1a nueva(o);$/kilo;700;2.000;1.095;;;;
dic-19;Zapallo;Camote;2a nueva(o);$/kilo;600;1.200;859;;;;
dic-19;Zapallo;Paine;1a nueva(o);$/kilo;500;1.000;795;;;;
dic-19;Zapallo;Paine;2a nueva(o);$/kilo;500;800;737;;;;
ene-20;Zapallo;Camote;1a nueva(o);$/kilo;500;2.000;1.080;;;;
ene-20;Zapallo;Camote;2a nueva(o);$/kilo;400;1.200;782;;;;
ene-20;Zapallo;Paine;1a nueva(o);$/kilo;500;1.400;918;;;;
ene-20;Zapallo;Paine;2a nueva(o);$/kilo;600;1.000;812;;;;
feb-20;Zapallo;Camote;1a nueva(o);$/kilo;600;1.600;994;;;;
feb-20;Zapallo;Camote;2a nueva(o);$/kilo;500;1.000;670;;;;
feb-20;Zapallo;Paine;1a nueva(o);$/kilo;500;1.000;850;;;;
feb-20;Zapallo;Paine;2a nueva(o);$/kilo;500;800;725;;;;
mar-20;Zapallo;Camote;1a (cosecha);$/kilo;600;1.800;1.018;;;;
mar-20;Zapallo;Camote;2a (cosecha);$/kilo;500;800;624;;;;
mar-20;Zapallo;Paine;1a (cosecha);$/kilo;800;800;800;;;;
mar-19;Zapallo italiano;Sin especificar;Primera;$/unidad;100;700;275;100;513100;7330*caja 70 unidades;6995/caja 70 unidades
mar-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;125;450;191;;;;
abr-19;Zapallo italiano;Sin especificar;Primera;$/unidad;100;400;205;75;383250;5475*caja 70 unidades;5217/caja 70 unidades
abr-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;80;200;127;;;;
may-19;Zapallo italiano;Sin especificar;Primera;$/unidad;150;500;243;114;217700;3110*caja 70 unidades;7950/caja 70 unidades
may-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;100;300;171;;;;
jun-19;Zapallo italiano;Sin especificar;Primera;$/unidad;150;600;335;;;;
jun-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;100;300;229;;;;
jul-19;Zapallo italiano;Sin especificar;Primera;$/unidad;150;600;303;;;;
jul-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;100;350;203;;;;
ago-19;Zapallo italiano;Sin especificar;Primera;$/unidad;250;600;432;;;;
ago-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;150;400;294;;;;
sept-19;Zapallo italiano;Sin especificar;Primera;$/unidad;250;600;426;;;;
sept-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;200;500;324;;;;
oct-19;Zapallo italiano;Sin especificar;Primera;$/unidad;200;700;401;;;;
oct-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;100;500;305;;;;
nov-19;Zapallo italiano;Sin especificar;Primera;$/unidad;100;600;204;;;;
nov-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;50;200;127;;;;
dic-19;Zapallo italiano;Sin especificar;Primera;$/unidad;100;400;200;95;28700;410*caja 70 unidades;6634/caja 70 unidades
dic-19;Zapallo italiano;Sin especificar;Segunda;$/unidad;60;200;130;;;;
ene-20;Zapallo italiano;Sin especificar;Primera;$/unidad;100;600;253;100;179200;2560*caja 70 unidades;6991/caja 70 unidades
ene-20;Zapallo italiano;Sin especificar;Segunda;$/unidad;100;350;183;48;87000;870*caja 100 unidades;4828/caja 100 unidades
feb-20;Zapallo italiano;Sin especificar;Primera;$/unidad;150;500;261;109;336700;4810*caja 70 unidades;7657/caja 70 unidades
feb-20;Zapallo italiano;Sin especificar;Segunda;$/unidad;100;300;182;49;231000;2310*caja 100 unidades;4931/caja 100 unidades
mar-20;Zapallo italiano;Sin especificar;Primera;$/unidad;150;500;267;112;359100;5130*caja 70 unidades;7850/caja 70 unidades
mar-20;Zapallo italiano;Sin especificar;Segunda;$/unidad;100;250;179;53;271000;2710*caja 100 unidades;5328/caja 100 unidades
