Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
abr-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.400;1.060;;;;
abr-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;900;833;;;;
may-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.500;1.145;;;;
may-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;933;;;;
jun-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.141;;;;
jun-19;Arveja Verde;Sin especificar;Segunda;$/kilo;750;1.000;883;;;;
jul-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.117;;;;
jul-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.200;985;;;;
ago-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.139;;;;
ago-19;Arveja Verde;Sin especificar;Segunda;$/kilo;1.000;1.200;1.014;;;;
sept-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.089;;;;
sept-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.200;943;;;;
oct-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.500;1.028;629;40750;1630*malla 25 kilos;15724/malla 25 kilos
oct-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.200;861;;;;
nov-19;Arveja Verde;Sin especificar;Primera;$/kilo;600;1.500;942;619;93750;3750*malla 25 kilos;15464/malla 25 kilos
nov-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.000;700;480;5000;200*malla 25 kilos;12000/malla 25 kilos
dic-19;Arveja Verde;Sin especificar;Primera;$/kilo;500;1.500;933;;;;
dic-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.000;679;;;;
ene-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.800;1.020;;;;
ene-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;800;756;;;;
feb-20;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.111;;;;
feb-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;1.200;943;;;;
mar-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.400;1.030;;;;
mar-20;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;858;;;;
mar-19;Brócoli;Sin especificar;Primera;$/unidad;500;2.600;808;528;191500;;
mar-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;571;370;64500;;
abr-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.500;973;741;202900;;
abr-19;Brócoli;Sin especificar;Segunda;$/unidad;500;1.000;704;507;72900;;
may-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;893;670;10700;;
may-19;Brócoli;Sin especificar;Segunda;$/unidad;500;800;683;500;2500;;
jun-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;842;508;163200;;
jun-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;631;371;61200;;
jul-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.200;821;573;38800;;
jul-19;Brócoli;Sin especificar;Segunda;$/unidad;300;800;611;437;15600;;
ago-19;Brócoli;Sin especificar;Primera;$/unidad;450;1.200;727;462;165400;;
ago-19;Brócoli;Sin especificar;Segunda;$/unidad;250;700;488;297;79800;;
sept-19;Brócoli;Sin especificar;Primera;$/unidad;400;1.000;737;452;283400;;
sept-19;Brócoli;Sin especificar;Segunda;$/unidad;300;700;533;275;165100;;
oct-19;Brócoli;Sin especificar;Primera;$/unidad;400;1.200;728;463;409.250;;
oct-19;Brócoli;Sin especificar;Segunda;$/unidad;250;800;524;277;259.960;;
nov-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.000;673;412;354.800;;
nov-19;Brócoli;Sin especificar;Segunda;$/unidad;300;700;483;276;223.300;;
dic-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.200;694;403;290.300;;
dic-19;Brócoli;Sin especificar;Segunda;$/unidad;350;800;515;301;181.550;;
ene-20;Brócoli;Sin especificar;Primera;$/unidad;600;1.600;869;547;121.520;;
ene-20;Brócoli;Sin especificar;Segunda;$/unidad;350;1.000;642;445;78.480;;
feb-20;Brócoli;Sin especificar;Primera;$/unidad;650;1.500;1.115;746;78.100;;
feb-20;Brócoli;Sin especificar;Segunda;$/unidad;500;1.300;847;575;51.500;;
mar-20;Brócoli;Sin especificar;Primera;$/unidad;800;2.500;1.317;935;109.600;;
mar-20;Brócoli;Sin especificar;Segunda;$/unidad;700;2.000;972;742;66.100;;
mar-19;Cebolla;Sin especificar;1a (cosecha);$/kilo;250;700;481;284;283.000;14150*caja 20 kilos;5681/caja 20 kilos
mar-19;Cebolla;Sin especificar;2a (cosecha);$/kilo;200;450;383;258;212.600;10630*caja 20 kilos;5150/caja 20 kilos
abr-19;Cebolla;Sin especificar;1a (cosecha);$/kilo;450;500;475;263;258.000;12900*caja 20 kilos;5269/caja 20 kilos
abr-19;Cebolla;Sin especificar;2a (cosecha);$/kilo;400;450;413;243;199.000;9950*caja 20 kilos;4866/caja 20 kilos
may-19;Cebolla;Sin especificar;1a (guarda);$/kilo;450;1.000;590;325;248.000;12400*caja 20 kilos;6497/caja 20 kilos
may-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;700;536;306;182.000;9100*caja 20 kilos;6114/caja 20 kilos
jun-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;800;623;310;320.000;16000*caja 20 kilos;6208/caja 20 kilos
jun-19;Cebolla;Sin especificar;2a (guarda);$/kilo;350;700;550;291;252.400;12620*caja 20 kilos;5829/caja 20 kilos
jul-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;700;535;322;331.800;16590*caja 20 kilos;6438/caja 20 kilos
jul-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;600;472;296;273.400;13670*caja 20 kilos;5929/caja 20 kilos
ago-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;800;643;404;431.600;21580*caja 20 kilos;8087/caja 20 kilos
ago-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;700;530;376;349.200;17460*caja 20 kilos;7522/caja 20 kilos
sept-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;1.000;729;407;431.800;21590*caja 20 kilos;8143/caja 20 kilos
sept-19;Cebolla;Sin especificar;2a (guarda);$/kilo;500;700;608;381;358.200;17910*caja 20 kilos;7620/caja 20 kilos
oct-19;Cebolla;Sin especificar;1a (guarda);$/kilo;500;1.000;795;349;401.600;20080*caja 20 kilos;6987/caja 20 kilos
oct-19;Cebolla;Sin especificar;2a (guarda);$/kilo;100;700;456;310;303.600;15180*caja 20 kilos;6199/caja 20 kilos
nov-19;Cebolla;Sin especificar;1a (guarda);$/kilo;1.000;1.000;1.000;315;195.000;9750*caja 20 kilos;6305/caja 20 kilos
dic-19;Cebolla;Sin especificar;1a nueva(o);$/kilo;400;600;500;176;441.000;24500*malla 18 kilos;3159/malla 18 kilos
dic-19;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;500;450;148;324.000;18000*malla 18 kilos;2667/malla 18 kilos
ene-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;400;450;433;182;54.000;3000*malla 18 kilos;3283/malla 18 kilos
ene-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;450;408;155;39.600;2200*malla 18 kilos;2795/malla 18 kilos
feb-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;450;600;550;;;;
feb-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;500;470;;;;
mar-20;Cebolla;Sin especificar;1a (cosecha);$/kilo;390;450;420;336;255.000;12750*caja 20 kilos;6716/caja 20 kilos
mar-20;Cebolla;Sin especificar;2a (cosecha);$/kilo;100;390;245;315;180.800;9040*caja 20 kilos;6308/caja 20 kilos
mar-19;Choclo;Dulce o Americano;Primera;$/unidad;150;500;253;107;785.000;;
mar-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;400;210;87;45.000;;
abr-19;Choclo;Dulce o Americano;Primera;$/unidad;150;400;244;98;984.000;;
abr-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;200;169;67;245.000;;
may-19;Choclo;Dulce o Americano;Primera;$/unidad;100;450;239;139;292.000;;
may-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;200;166;100;80.000;;
jun-19;Choclo;Dulce o Americano;Primera;$/unidad;150;500;319;;;;
jun-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;300;210;;;;
jul-19;Choclo;Dulce o Americano;Primera;$/unidad;230;800;425;;;;
jul-19;Choclo;Dulce o Americano;Segunda;$/unidad;150;600;336;;;;
ago-19;Choclo;Dulce o Americano;Primera;$/unidad;400;800;602;;;;
ago-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;600;461;;;;
sept-19;Choclo;Dulce o Americano;Primera;$/unidad;200;900;599;;;;
sept-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;650;437;;;;
oct-19;Choclo;Dulce o Americano;Primera;$/unidad;400;800;633;;;;
