Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
mar-19;Limón;Sin especificar;1a amarillo;$/kilo;1.200;2.000;1.700;1.225;190.080;10560*malla 18 kilos;22057/malla 18 kilos
mar-19;Limón;Sin especificar;2a amarillo;$/kilo;1.000;1.600;1.391;1.011;275.760;15320*malla 18 kilos;18203/malla 18 kilos
abr-19;Limón;Sin especificar;1a amarillo;$/kilo;900;2.000;1.331;903;124200;6900*malla 18 kilos;16248/malla 18 kilos
abr-19;Limón;Sin especificar;2a amarillo;$/kilo;700;1.400;1.006;745;254160;14120*malla 18 kilos;13416/malla 18 kilos
may-19;Limón;Sin especificar;1a amarillo;$/kilo;600;1.500;1.025;688;74790;4155*malla 18 kilos;12383/malla 18 kilos
may-19;Limón;Sin especificar;2a amarillo;$/kilo;500;1.200;821;542;385560;21420*malla 18 kilos;9757/malla 18 kilos
jun-19;Limón;Sin especificar;1a amarillo;$/kilo;250;1.200;547;270;440280;24460*malla 18 kilos;4851/malla 18 kilos
jun-19;Limón;Sin especificar;2a amarillo;$/kilo;200;1.000;396;235;439884;24438*malla 18 kilos;4238/malla 18 kilos
jul-19;Limón;Sin especificar;1a amarillo;$/kilo;250;700;370;171;751320;41740*malla 18 kilos;3085/malla 18 kilos
jul-19;Limón;Sin especificar;2a amarillo;$/kilo;200;500;258;134;849600;47200*malla 18 kilos;2411/malla 18 kilos
ago-19;Limón;Sin especificar;1a amarillo;$/kilo;300;700;406;241;443700;24650*malla 18 kilos;4342/malla 18 kilos
ago-19;Limón;Sin especificar;2a amarillo;$/kilo;166;450;280;197;577080;32060*malla 18 kilos;3544/malla 18 kilos
sept-19;Limón;Sin especificar;1a amarillo;$/kilo;300;800;484;280;647028;35946*malla 18 kilos;5043/malla 18 kilos
sept-19;Limón;Sin especificar;2a amarillo;$/kilo;200;500;351;221;606600;33700*malla 18 kilos;3972/malla 18 kilos
oct-19;Limón;Sin especificar;1a amarillo;$/kilo;350;1.000;545;288;309294;17813*malla 18 kilos;5184/malla 18 kilos
oct-19;Limón;Sin especificar;2a amarillo;$/kilo;250;650;381;235;466560;25920*malla 18 kilos;4234/malla 18 kilos
nov-19;Limón;Sin especificar;1a amarillo;$/kilo;400;800;590;335;415800;23100*malla 18 kilos;6033/malla 18 kilos
nov-19;Limón;Sin especificar;2a amarillo;$/kilo;250;600;419;266;298440;16580*malla 18 kilos;4787/malla 18 kilos
dic-19;Limón;Sin especificar;1a amarillo;$/kilo;400;1.500;711;410;235260;13070*malla 18 kilos;7375/malla 18 kilos
dic-19;Limón;Sin especificar;2a amarillo;$/kilo;300;1.000;535;359;3665580;20310*malla 18 kilos;6459/malla 18 kilos
ene-20;Limón;Sin especificar;1a amarillo;$/kilo;900;1.700;1.199;822;171540;9530*malla 18 kilos;14787/malla 18 kilos
ene-20;Limón;Sin especificar;2a amarillo;$/kilo;700;1.300;958;713;203400;11300*malla 18 kilos;12830/malla 18 kilos
feb-20;Limón;Sin especificar;1a amarillo;$/kilo;1.000;1.800;1.358;1.022;340.200;18900*malla 18 kilos;18403/malla 18 kilos
feb-20;Limón;Sin especificar;2a amarillo;$/kilo;800;1.400;1.144;891;250200;13900*malla 18 kilos;16040//malla 18 kilos
mar-20;Limón;Sin especificar;1a amarillo;$/kilo;1.200;2.000;1.633;1.157;47.340;2630*malla 18 kilos;20821/malla 18 kilos
mar-20;Limón;Sin especificar;2a amarillo;$/kilo;1.000;1.700;1.296;1.003;155.232;8624*malla 18 kilos;18057/malla 18 kilos
may-19;Mandarina;Clemenuless;Primera;$/kilo;450;1.400;794;400;5.400;12*bins (450 kilos);180000/bins (450 kilos)
may-19;Mandarina;Clemenuless;Segunda;$/kilo;450;900;646;;;;
jun-19;Mandarina;Clemenuless;Primera;$/kilo;500;1.200;754;356;4.500;10*bins (450 kilos);160000/bins (450 kilos)
jun-19;Mandarina;Clemenuless;Segunda;$/kilo;400;750;536;244;2.250;5*bins (450 kilos);110000/bins (450 kilos)
jul-19;Mandarina;Clemenuless;Primera;$/kilo;400;1.200;698;381;6.300;14*bins (450 kilos);171429/bins (450 kilos)
jul-19;Mandarina;Clemenuless;Segunda;$/kilo;333;790;505;278;4.500;10*bins (450 kilos);125000/bins (450 kilos)
ago-19;Mandarina;Clemenuless;Primera;$/kilo;500;1.200;746;425;16.200;36*bins (450 kilos);191250/bins (450 kilos)
ago-19;Mandarina;Clemenuless;Segunda;$/kilo;300;1.000;558;400;7.200;16*bins (450 kilos);180000/bins (450 kilos)
sept-19;Mandarina;Clemenuless;Primera;$/kilo;500;1.200;722;350;11.700;26*bins (450 kilos);157500/bins (450 kilos)
sept-19;Mandarina;Clemenuless;Segunda;$/kilo;350;700;510;274;15.300;34*bins (450 kilos);123088/bins (450 kilos)
oct-19;Mandarina;Clemenuless;Primera;$/kilo;500;1.200;771;;;;
oct-19;Mandarina;Clemenuless;Segunda;$/kilo;350;900;561;;;;
nov-19;Mandarina;Clemenuless;Primera;$/kilo;600;1.000;806;;;;
nov-19;Mandarina;Clemenuless;Segunda;$/kilo;500;700;630;;;;
mar-19;Mango;Sin especificar;Primera;$/kilo;1.800;3.000;2.270;;;;
mar-19;Mango;Sin especificar;Segunda;$/kilo;2.000;2.200;2.133;;;;
abr-19;Mango;Sin especificar;Primera;$/kilo;1.750;2.800;2.162;;;;
abr-19;Mango;Sin especificar;Segunda;$/kilo;2.000;2.500;2.130;;;;
may-19;Mango;Sin especificar;Primera;$/kilo;2.000;2.500;2.211;;;;
may-19;Mango;Sin especificar;Segunda;$/kilo;2.000;2.200;2.080;;;;
jun-19;Mango;Sin especificar;Primera;$/kilo;1.500;3.600;2.364;;;;
jun-19;Mango;Sin especificar;Segunda;$/kilo;2.200;2.200;2.200;;;;
jul-19;Mango;Sin especificar;Primera;$/kilo;1.000;3.570;2.271;;;;
jul-19;Mango;Sin especificar;Segunda;$/kilo;1.500;1.900;1.667;;;;
ago-19;Mango;Sin especificar;Primera;$/kilo;1.000;3.000;1.991;;;;
sept-19;Mango;Sin especificar;Primera;$/kilo;1.800;3.500;2.481;;;;
oct-19;Mango;Sin especificar;Primera;$/kilo;1.800;3.400;2.486;;;;
oct-19;Mango;Sin especificar;Segunda;$/kilo;1.000;1.800;1.400;;;;
nov-19;Mango;Sin especificar;Primera;$/kilo;1.500;2.800;2.118;;;;
nov-19;Mango;Sin especificar;Segunda;$/kilo;1.500;2.000;1.925;;;;
dic-19;Mango;Sin especificar;Primera;$/kilo;1.500;2.700;2.151;;;;
dic-19;Mango;Sin especificar;Segunda;$/kilo;1.500;1.800;1.700;;;;
ene-20;Mango;Sin especificar;Primera;$/kilo;1.500;2.800;2.174;;;;
ene-20;Mango;Sin especificar;Segunda;$/kilo;1.800;2.000;1.917;;;;
feb-20;Mango;Sin especificar;Primera;$/kilo;1.500;2.700;1.943;;;;
feb-20;Mango;Sin especificar;Segunda;$/kilo;1.250;2.000;1.821;;;;
mar-20;Mango;Sin especificar;Primera;$/kilo;1.200;2.700;1.958;;;;
mar-20;Mango;Sin especificar;Segunda;$/kilo;1.500;2.000;1.833;;;;
mar-19;Manzana;Granny Smith;Primera;$/kilo;490;1.000;692;;;;
mar-19;Manzana;Granny Smith;Segunda;$/kilo;400;700;531;;;;
abr-19;Manzana;Granny Smith;Primera;$/kilo;450;1.000;631;;;;
abr-19;Manzana;Granny Smith;Segunda;$/kilo;350;600;446;;;;
may-19;Manzana;Granny Smith;Primera;$/kilo;400;900;578;526;3312;184*caja 18 kilos;9478/caja 18 kilos
may-19;Manzana;Granny Smith;Segunda;$/kilo;300;700;443;;;;
jun-19;Manzana;Granny Smith;Primera;$/kilo;400;850;581;285;6800;17*bins (400 kilos);114118/bins (400 kilos)
jun-19;Manzana;Granny Smith;Segunda;$/kilo;300;600;444;235;8000;20*bins (400 kilos);94000/bins (400 kilos)
jul-19;Manzana;Granny Smith;Primera;$/kilo;450;900;594;325;3200;8*bins (400 kilos);130000/bins (400 kilos)
jul-19;Manzana;Granny Smith;Segunda;$/kilo;300;650;454;275;2400;6*bins (400 kilos);110000/bins (400 kilos)
ago-19;Manzana;Granny Smith;Primera;$/kilo;500;1.000;625;310;8800;22*bins (400 kilos);123864/bins (400 kilos)
ago-19;Manzana;Granny Smith;Segunda;$/kilo;400;800;486;268;9600;24*bins (400 kilos);107083/bins (400 kilos)
sept-19;Manzana;Granny Smith;Primera;$/kilo;500;1.000;747;;;;
sept-19;Manzana;Granny Smith;Segunda;$/kilo;400;700;568;;;;
oct-19;Manzana;Granny Smith;Primera;$/kilo;500;1.500;905;460;16000;40*bins (400 kilos);184000/bins (400 kilos)
oct-19;Manzana;Granny Smith;Segunda;$/kilo;400;900;691;435;8000;20*bins (400 kilos);174000/bins (400 kilos)
nov-19;Manzana;Granny Smith;Primera;$/kilo;700;1.500;1.147;;;;
nov-19;Manzana;Granny Smith;Segunda;$/kilo;650;1.200;888;;;;
dic-19;Manzana;Granny Smith;Primera;$/kilo;800;2.000;1.421;;;;
dic-19;Manzana;Granny Smith;Segunda;$/kilo;700;1.500;1.083;;;;
ene-20;Manzana;Granny Smith;Primera;$/kilo;950;2.000;1.561;;;;
ene-20;Manzana;Granny Smith;Segunda;$/kilo;800;2.000;1.283;;;;
feb-20;Manzana;Granny Smith;Primera;$/kilo;600;2.000;1.077;;;;
feb-20;Manzana;Granny Smith;Segunda;$/kilo;500;1.500;786;;;;
mar-20;Manzana;Granny Smith;Primera;$/kilo;590;1.500;849;;;;
mar-20;Manzana;Granny Smith;Segunda;$/kilo;490;1.000;659;;;;
mar-19;Naranja;Valencia;Primera;$/kilo;500;900;692;332;128000;320*bins (400 kilos);132719/bins (400 kilos)
mar-19;Naranja;Valencia;Segunda;$/kilo;400;700;534;266;8800;22*bins (400 kilos);106364/bins (400 kilos)
abr-19;Naranja;Valencia;Primera;$/kilo;500;900;661;311;210800;527*bins (400 kilos);124260/bins (400 kilos)
abr-19;Naranja;Valencia;Segunda;$/kilo;400;700;507;250;10400;26*bins (400 kilos);100000/bins (400 kilos)
may-19;Naranja;Valencia;Primera;$/kilo;500;1.000;659;316;251200;628*bins (400 kilos);126497/bins (400 kilos)
may-19;Naranja;Valencia;Segunda;$/kilo;350;700;533;249;61600;154*bins (400 kilos);99610/bins (400 kilos)
jun-19;Naranja;Valencia;Primera;$/kilo;450;1.000;649;275;4800;12*bins (400 kilos);110000/bins (400 kilos)
jun-19;Naranja;Valencia;Segunda;$/kilo;350;700;467;238;3200;8*bins (400 kilos);95000/bins (400 kilos)
jul-19;Naranja;Valencia;Primera;$/kilo;500;700;558;;;;
jul-19;Naranja;Valencia;Segunda;$/kilo;350;400;375;;;;
ago-19;Naranja;Fukumoto;Primera;$/kilo;400;950;546;;;;
ago-19;Naranja;Fukumoto;Segunda;$/kilo;250;700;400;;;;
sept-19;Naranja;Lane Late;Primera;$/kilo;400;900;569;;;;
sept-19;Naranja;Lane Late;Segunda;$/kilo;250;600;429;;;;
oct-19;Naranja;Lane Late;Primera;$/kilo;400;1.200;680;;;;
oct-19;Naranja;Lane Late;Segunda;$/kilo;333;800;504;;;;
nov-19;Naranja;Lane Late;Primera;$/kilo;500;900;751;481;113600;284*bins (400 kilos);192570/bins (400 kilos)
