Mes;avg_feriantes
Mayo;10298,43468
Junio;11981,94313
Julio;13572,47391
Agosto;12554,35433
Septiembre;12328,05307
Octubre;21161,45545
Noviembre;18587,48015
Diciembre;15187,79701
Enero;24130,77482
Febrero;27156,7301
Marzo;23399,97428
Abril;24136,13614
