Producto;feriantesVolumenTotal
Ajo;14126400
Alcachofa;10967136
Apio;19284992
Arveja Verde;20648112
Brócoli;47355840
Cebolla;12146357
Choclo;23879424
Coliflor;40020820
Espinaca;26967248
Haba;10115062
Lechuga;38298960
Melón;2273412
Pepino ensalada;21864640
Poroto granado;27348254
Poroto verde;11284944
Repollo;35427456
Tomate;22278304
Zapallo italiano;13101321
Frutilla;4646430
Sandia;4139008
Zanahoria;42951976
