Mes;avg_feriantes
Mayo;6139.745707
Junio;8182.280828
Julio;9689.821785
Agosto;9512.302681
Septiembre;9335.393281
Octubre;11844.18853
Noviembre;13256.32087
Diciembre;13901.97469
Enero;18199.38012
Febrero;19593.85836
Marzo;17099.5417
Abril;11994.4623
