Producto;feriantesVolumenTotal
Ajo;14159536
Alcachofa;11757667
Apio;19093184
Arveja Verde;20812952
Brócoli;47344176
Cebolla;12687259
Choclo;8445204
Coliflor;41018208
Espinaca;27112624
Haba;15309032
Lechuga;39189080
Melón;2286936
Pepino ensalada;23812614
Poroto granado;26172957
Poroto verde;11179152
Repollo;35551808
Sandia;4187648
Tomate;24709295
Zanahoria;37914524
Zapallo italiano;8755052
Frutilla;4293030
