Producto;consumersVolumenTotal
Ajo;221597
Alcachofa;353801
Apio;117909
Arveja Verde;23818.6
Brócoli;248719
Cebolla;50673.5
Choclo;78635
Coliflor;228736
Espinaca;53799
Haba;46869.5
Lechuga;579055
Melón;50196
Pepino ensalada;184018
Poroto granado;11671.8
Poroto verde;39376
Repollo;186713
Sandia;15181
Tomate;320438
Zanahoria;268486.5
Zapallo italiano;132442
Frutilla;21418.2
