Producto;consumersVolumenTotal
Ajo;219139
Alcachofa;410904
Apio;117348
Arveja Verde;23644.6
Brócoli;245489
Cebolla;69398.5
Choclo;94123
Coliflor;228596
Espinaca;42185.7
Haba;20150
Lechuga;572467
Melón;49600
Pepino ensalada;174884
Poroto granado;17083.5
Poroto verde;37792.6
Repollo;185202
Sandia;12185
Tomate;236734
Zanahoria;260631.5
Zapallo italiano;169695
Frutilla;75890.4
