Mes;avg_feriantes
Mayo;6101.084764
Junio;8626.35738
Julio;10065.88673
Agosto;10599.96356
Septiembre;9641.679335
Octubre;11634.56233
Noviembre;16127.08599
Diciembre;17468.50886
Enero;21775.16946
Febrero;18529.004
Marzo;18828.98982
Abril;12540.37251
