Producto;feriantesVolumenTotal
Ajo;14283360
Alcachofa;22310481
Apio;19363136
Arveja Verde;20708976
Brócoli;47775744
Cebolla;44025680
Choclo;19132552
Coliflor;41689816
Espinaca;16254569
Haba;2343778
Lechuga;36296258
Melón;2236152
Pepino ensalada;22973816
Poroto granado;51489638
Poroto verde;10346725
Repollo;28839406
Sandia;1518106
Tomate;10651095
Zanahoria;41307878
Zapallo italiano;19119045
Frutilla;9552959
