"month","year","Series.1"
"Enero","2020",0.886203970893135
"Febrero","2020",0.535082815086322
"Marzo","2020",0.202989129816861
"Abril","2020",-0.24322769100665
"Mayo","2020",-1.24927438170087
"Junio","2020",0.738651985354086
"Julio","2020",0.316295849745184
"Agosto","2020",-1.03836512838941
"Septiembre","2020",-2.08535556603183
"Octubre","2020",-0.557950370180875
"Noviembre","2020",-0.282216147062508
"Diciembre","2020",0.430727299295457
"Enero","2021",1.14338628578098
"Febrero","2021",1.11558840625692
"Marzo","2021",0.589317165254663
"Abril","2021",0.568817607875188
"Mayo","2021",0.109454551654081
"Junio","2021",0.115926776538028
"Julio","2021",-0.053503937431908
"Agosto","2021",0.260251020375368
"Septiembre","2021",0.32451419428853
"Octubre","2021",0.458141282853417
"Noviembre","2021",0.649390349088442
"Diciembre","2021",1.18226054294511
"Enero","2022",1.3206027929349
"Febrero","2022",1.2163445929004
"Marzo","2022",0.652992148259659
"Abril","2022",0.458914129273393
"Mayo","2022",-0.0101528845752475
"Junio","2022",0.2882442757462
"Julio","2022",-0.165671261386429
"Agosto","2022",0.324900828502107
"Septiembre","2022",0.0399318651244592
"Octubre","2022",0.406163944971357
"Noviembre","2022",0.620012691966866
"Diciembre","2022",1.20256908867581
