"temperature","Date"
12.4383024262777,"30-06-2022"
14.4820383295882,"01-07-2022"
17.6950345002115,"02-07-2022"
18.9467047340563,"03-07-2022"
9.29726847543381,"04-07-2022"
12.809295870408,"05-07-2022"
12.1931150210369,"06-07-2022"
15.4102022235794,"07-07-2022"
14.6754542727093,"08-07-2022"
17.2335750538483,"09-07-2022"
14.9631503159343,"10-07-2022"
15.4105790265277,"11-07-2022"
18.522371168714,"12-07-2022"
23.3978524787491,"13-07-2022"
23.6331998555595,"14-07-2022"
22.9410683151218,"15-07-2022"
11.4326395038702,"16-07-2022"
14.2171982218395,"17-07-2022"
13.8206113413349,"18-07-2022"
18.0719963094848,"19-07-2022"
18.2646709356084,"20-07-2022"
11.8202776027145,"21-07-2022"
14.5104422627948,"22-07-2022"
13.8901995568187,"23-07-2022"
14.1860076949862,"24-07-2022"
12.1421130409185,"25-07-2022"
13.0026678927243,"26-07-2022"
14.0824085119646,"27-07-2022"
17.8752064650692,"28-07-2022"
24.0447720636847,"29-07-2022"
16.7695011903299,"30-07-2022"
17.9079626751272,"31-07-2022"
14.1348054883629,"01-08-2022"
21.8440285124909,"02-08-2022"
20.0926423795288,"03-08-2022"
22.9576718403446,"04-08-2022"
16.1590370763279,"05-08-2022"
19.6979240004439,"06-08-2022"
21.164936488336,"07-08-2022"
24.1631225612015,"08-08-2022"
17.6152017405909,"09-08-2022"
17.4493387123011,"10-08-2022"
17.885935445521,"11-08-2022"
15.5807736193528,"12-08-2022"
16.4172286882065,"13-08-2022"
13.4579542733962,"14-08-2022"
16.7996534607559,"15-08-2022"
17.9443231022987,"16-08-2022"
18.9263075000839,"17-08-2022"
11.7664151517302,"18-08-2022"
16.3895491305669,"19-08-2022"
23.9355300164712,"20-08-2022"
25.702395780785,"21-08-2022"
23.676947853039,"22-08-2022"
15.8315034599975,"23-08-2022"
19.5369984916295,"24-08-2022"
15.9930589158344,"25-08-2022"
15.8593181090336,"26-08-2022"
16.5410732367449,"27-08-2022"
12.876297205803,"28-08-2022"
17.5939740034519,"29-08-2022"
17.9402712991671,"30-08-2022"
16.6375396440853,"31-08-2022"
12.8191354251676,"01-09-2022"
17.9179983487399,"02-09-2022"
19.6817817062861,"03-09-2022"
20.3418131414847,"04-09-2022"
17.3251295545092,"05-09-2022"
23.0583813079912,"06-09-2022"
21.8819834780297,"07-09-2022"
14.7183851489658,"08-09-2022"
23.7860854461347,"09-09-2022"
22.5255484956689,"10-09-2022"
21.2872318845615,"11-09-2022"
22.6240626382222,"12-09-2022"
22.6550019680522,"13-09-2022"
29.1266232052725,"14-09-2022"
16.3880800781539,"15-09-2022"
22.774635469364,"16-09-2022"
26.7168778735772,"17-09-2022"
27.4312389565818,"18-09-2022"
27.8852153667226,"19-09-2022"
26.8638859196566,"20-09-2022"
27.3741906801169,"21-09-2022"
28.1817588962149,"22-09-2022"
28.3244508541469,"23-09-2022"
25.5917871082085,"24-09-2022"
12.4168903176393,"25-09-2022"
19.0081585661229,"26-09-2022"
23.2389416057942,"27-09-2022"
25.2718265551329,"28-09-2022"
17.9175086099654,"29-09-2022"
19.5587413013447,"30-09-2022"
19.1849713327829,"01-10-2022"
19.0313975517754,"02-10-2022"
17.2439231325407,"03-10-2022"
19.8047948330641,"04-10-2022"
23.1592982265842,"05-10-2022"
22.7768346322956,"06-10-2022"
25.5341583286645,"07-10-2022"
25.2718301931582,"08-10-2022"
30.029358978644,"09-10-2022"
28.9820640365733,"10-10-2022"
30.7040714457817,"11-10-2022"
29.943747611884,"12-10-2022"
26.6067103556381,"13-10-2022"
24.6238969667535,"14-10-2022"
32.0811627099523,"15-10-2022"
25.0681308398419,"16-10-2022"
27.5812017294206,"17-10-2022"
27.1936385598336,"18-10-2022"
24.9919692536327,"19-10-2022"
27.9208749050228,"20-10-2022"
23.6115617312025,"21-10-2022"
27.2120635415427,"22-10-2022"
27.946418435066,"23-10-2022"
24.2483632305777,"24-10-2022"
24.0994909476256,"25-10-2022"
28.0174295190256,"26-10-2022"
19.5777182981116,"27-10-2022"
24.2619148918614,"28-10-2022"
26.2790935563762,"29-10-2022"
28.8147267821361,"30-10-2022"
28.1385721990955,"31-10-2022"
25.4128560136957,"01-11-2022"
27.6704001327162,"02-11-2022"
32.6609782904386,"03-11-2022"
22.7818479343038,"04-11-2022"
26.5971967190178,"05-11-2022"
28.1059970910288,"06-11-2022"
30.5633865057374,"07-11-2022"
25.8281150546623,"08-11-2022"
29.7969690929563,"09-11-2022"
29.2365624794317,"10-11-2022"
27.875607173685,"11-11-2022"
26.790823465595,"12-11-2022"
18.0004828353063,"13-11-2022"
24.0364201675402,"14-11-2022"
27.2986717991065,"15-11-2022"
26.2712724063918,"16-11-2022"
19.989109732036,"17-11-2022"
27.4397372243693,"18-11-2022"
23.0844073947519,"19-11-2022"
20.4274835987948,"20-11-2022"
28.12224749716,"21-11-2022"
31.4623545337841,"22-11-2022"
27.3570300906664,"23-11-2022"
26.2070996034308,"24-11-2022"
30.5185170804989,"25-11-2022"
32.5216163782869,"26-11-2022"
29.6244944645721,"27-11-2022"
29.8344009594992,"28-11-2022"
31.4084128105454,"29-11-2022"
33.7959093676321,"30-11-2022"
28.5383488614787,"01-12-2022"
29.4761684292555,"02-12-2022"
29.1986621222575,"03-12-2022"
30.8375728708715,"04-12-2022"
29.8929798578331,"05-12-2022"
31.9395762821264,"06-12-2022"
29.121577565074,"07-12-2022"
30.570815595102,"08-12-2022"
32.5311501263687,"09-12-2022"
23.1946942100115,"10-12-2022"
29.9459375914419,"11-12-2022"
30.2554560146201,"12-12-2022"
33.3586664529797,"13-12-2022"
31.2884080041945,"14-12-2022"
29.5920818655193,"15-12-2022"
31.8597459536092,"16-12-2022"
30.6018988829479,"17-12-2022"
22.9043501232751,"18-12-2022"
28.2330887751281,"19-12-2022"
31.1686723426147,"20-12-2022"
32.4638670386909,"21-12-2022"
31.8616977094091,"22-12-2022"
27.5721834995155,"23-12-2022"
32.8696952648461,"24-12-2022"
35.1441648528329,"25-12-2022"
29.7038698765263,"26-12-2022"
28.4990216746111,"27-12-2022"
32.6988158838218,"28-12-2022"
29.154335146579,"29-12-2022"
33.2850774610648,"30-12-2022"
32.2887982142554,"31-12-2022"
