"temperature","Date"
22.8,"06-09-2020"
22.5,"07-09-2020"
14.6,"08-09-2020"
23.3,"09-09-2020"
21.6,"10-09-2020"
21.6,"11-09-2020"
21.8,"12-09-2020"
23.5,"13-09-2020"
28.2,"14-09-2020"
17,"15-09-2020"
22.8,"16-09-2020"
27.2,"17-09-2020"
26.8,"18-09-2020"
28.3,"19-09-2020"
26.3,"20-09-2020"
27.1,"21-09-2020"
27.5,"22-09-2020"
28.2,"23-09-2020"
26.3,"24-09-2020"
12.3,"25-09-2020"
19.7,"26-09-2020"
23.8,"27-09-2020"
24.9,"28-09-2020"
17.6,"29-09-2020"
19,"30-09-2020"
19.4,"01-10-2020"
19.3,"02-10-2020"
17.5,"03-10-2020"
20,"04-10-2020"
23.3,"05-10-2020"
22.7,"06-10-2020"
25,"07-10-2020"
24.8,"08-10-2020"
28.8,"09-10-2020"
27.9,"10-10-2020"
31.2,"11-10-2020"
30.9,"12-10-2020"
26.3,"13-10-2020"
23.8,"14-10-2020"
30.6,"15-10-2020"
24.3,"16-10-2020"
27.7,"17-10-2020"
26.3,"18-10-2020"
26.3,"19-10-2020"
28.9,"20-10-2020"
24.5,"21-10-2020"
28,"22-10-2020"
27.9,"23-10-2020"
24.7,"24-10-2020"
23,"25-10-2020"
27.7,"26-10-2020"
18.7,"27-10-2020"
24.2,"28-10-2020"
27.4,"29-10-2020"
29.5,"30-10-2020"
29.5,"31-10-2020"
26.6,"01-11-2020"
27.5,"02-11-2020"
32,"03-11-2020"
23.6,"04-11-2020"
27.8,"05-11-2020"
28.6,"06-11-2020"
31.7,"07-11-2020"
25.5,"08-11-2020"
29.1,"09-11-2020"
28.1,"10-11-2020"
26.8,"11-11-2020"
27.7,"12-11-2020"
18.7,"13-11-2020"
25,"14-11-2020"
26,"15-11-2020"
27.2,"16-11-2020"
19.5,"17-11-2020"
27.5,"18-11-2020"
22.5,"19-11-2020"
21.5,"20-11-2020"
28.4,"21-11-2020"
30.4,"22-11-2020"
28.6,"23-11-2020"
27.5,"24-11-2020"
29.2,"25-11-2020"
33.2,"26-11-2020"
29.1,"27-11-2020"
29.6,"28-11-2020"
31.4,"29-11-2020"
32.2,"30-11-2020"
29.3,"01-12-2020"
28.8,"02-12-2020"
30.5,"03-12-2020"
29.7,"04-12-2020"
