Mes;avg_feriantes
Mayo;10133,3734
Junio;9953,967832
Julio;11287,10377
Agosto;12519,35758
Septiembre;12491,56308
Octubre;20850,7208
Noviembre;16413,94483
Diciembre;18051,54204
Enero;24213,78683
Febrero;30168,31768
Marzo;27326,72284
Abril;26800,67017
