Producto;feriantesVolumenTotal
Ajo;14532752
Alcachofa;20949587
Apio;19502848
Arveja Verde;20579640
Brócoli;47664936
Cebolla;44149696
Choclo;28585669
Coliflor;41469288
Espinaca;21297091
Haba;3313649
Lechuga;38941560
Melón;2258508
Pepino ensalada;17104706
Poroto granado;57380114
Poroto verde;9910515
Repollo;25598020
Tomate;5518860
Zapallo italiano;19827987
Frutilla;3244709
Sandia;1637451
Zanahoria;31475114
