Mes;avg_feriantes
Mayo;6126.055514
Junio;7793.17869
Julio;9150.281099
Agosto;8530.554123
Septiembre;9264.456804
Octubre;10781.56539
Noviembre;11214.05117
Diciembre;14699.94557
Enero;18923.27438
Febrero;18417.09182
Marzo;18871.5096
Abril;12748.14001
