Producto;consumersVolumenTotal
Ajo;220358
Alcachofa;351079
Apio;117300
Arveja Verde;23723.8
Brócoli;248676
Cebolla;69716.5
Choclo;99732
Coliflor;228621
Espinaca;43509.3
Haba;15380
Lechuga;575139
Melón;49777
Pepino ensalada;128348
Poroto granado;17156.4
Poroto verde;33870
Repollo;181958
Sandia;12671
Tomate;183951.5
Zanahoria;228567
Zapallo italiano;182089
Frutilla;19275
