Mes_escrito;Mes;Anio;Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Noviembre;11;2019;nov-19;Apio;Americana (o);Primera;$/unidad;500;1.500;900;444;10800;900*docena de matas;5333/docena de matas
Noviembre;11;2019;nov-19;Apio;Americana (o);Segunda;$/unidad;500;900;673;264;10800;900*docena de matas;3167/docena de matas
Diciembre;12;2019;dic-19;Apio;Americana (o);Primera;$/unidad;600;2.000;1.035;;;;
Diciembre;12;2019;dic-19;Apio;Americana (o);Segunda;$/unidad;600;1.000;763;;;;
Enero;1;2020;ene-20;Apio;Americana (o);Primera;$/unidad;700;2.000;1.203;;;;
Enero;1;2020;ene-20;Apio;Americana (o);Segunda;$/unidad;600;1.200;911;;;;
Febrero;2;2020;feb-20;Apio;Americana (o);Primera;$/unidad;1.000;1.800;1.236;651;39.000;3250*docena de matas;7808/docena de matas
Febrero;2;2020;feb-20;Apio;Americana (o);Segunda;$/unidad;800;1.500;976;458;36000;3000*docena de matas;5500/docena de matas
Marzo;3;2020;mar-20;Apio;Americana (o);Primera;$/unidad;700;2.000;1.070;441;119040;9923*docena de matas;5299/docena de matas
Marzo;3;2020;mar-20;Apio;Americana (o);Segunda;$/unidad;500;1.400;813;360;70560;5880*docena de matas;4319/docena de matas
Marzo;3;2019;mar-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.083;;;;
Marzo;3;2019;mar-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;800;800;;;;
Abril;4;2019;abr-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.400;1.060;;;;
Abril;4;2019;abr-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;900;833;;;;
Mayo;5;2019;may-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.500;1.145;;;;
Mayo;5;2019;may-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;933;;;;
Junio;6;2019;jun-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.141;;;;
Junio;6;2019;jun-19;Arveja Verde;Sin especificar;Segunda;$/kilo;750;1.000;883;;;;
Julio;7;2019;jul-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.117;;;;
Julio;7;2019;jul-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.200;985;;;;
Agosto;8;2019;ago-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.139;;;;
Agosto;8;2019;ago-19;Arveja Verde;Sin especificar;Segunda;$/kilo;1.000;1.200;1.014;;;;
Septiembre;9;2019;sept-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.089;;;;
Septiembre;9;2019;sept-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.200;943;;;;
Octubre;10;2019;oct-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.500;1.028;629;40750;1630*malla 25 kilos;15724/malla 25 kilos
Octubre;10;2019;oct-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.200;861;;;;
Noviembre;11;2019;nov-19;Arveja Verde;Sin especificar;Primera;$/kilo;600;1.500;942;619;93750;3750*malla 25 kilos;15464/malla 25 kilos
Noviembre;11;2019;nov-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.000;700;480;5000;200*malla 25 kilos;12000/malla 25 kilos
Diciembre;12;2019;dic-19;Arveja Verde;Sin especificar;Primera;$/kilo;500;1.500;933;;;;
Diciembre;12;2019;dic-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.000;679;;;;
Enero;1;2020;ene-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.800;1.020;;;;
Enero;1;2020;ene-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;800;756;;;;
Febrero;2;2020;feb-20;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.111;;;;
Febrero;2;2020;feb-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;1.200;943;;;;
Marzo;3;2020;mar-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.400;1.030;;;;
